Volume averages, fluxes, etc
it t dt Rho Mx My Mz Bx By Bz Ehot Ew Pe Ppar E Pmin Pmax
   6400  0.00000E+00  0.00000E+000  3.50603E-019  5.08090E-015 -2.04872E-015 -4.17214E-015  8.92516E-005 -1.18798E-004  1.42340E-003  4.14090E-007  1.53649E-006  2.95956E-006  2.74954E-006  7.03932E-006  1.86309E-008  1.35295E+000
   6500  0.00000E+00  0.00000E+000  3.50535E-019  5.09020E-015 -2.09971E-015 -4.22829E-015  8.80683E-005 -1.19810E-004  1.42940E-003  4.11515E-007  1.53526E-006  2.95302E-006  2.74543E-006  7.04278E-006  1.86677E-008  1.35292E+000
   6600  0.00000E+00  0.00000E+000  3.50472E-019  5.08361E-015 -2.19276E-015 -4.28794E-015  8.74989E-005 -1.21121E-004  1.43300E-003  4.08982E-007  1.53370E-006  2.94669E-006  2.74125E-006  7.04421E-006  1.86837E-008  1.35289E+000
   6700  0.00000E+00  0.00000E+000  3.50398E-019  5.08172E-015 -2.26747E-015 -4.40537E-015  8.64601E-005 -1.21961E-004  1.43915E-003  4.06709E-007  1.53247E-006  2.94112E-006  2.73764E-006  7.04733E-006  1.86932E-008  1.35288E+000
   6800  0.00000E+00  0.00000E+000  3.50330E-019  5.09693E-015 -2.31752E-015 -4.46842E-015  8.50434E-005 -1.22636E-004  1.44552E-003  4.04365E-007  1.53134E-006  2.93515E-006  2.73391E-006  7.05082E-006  1.87075E-008  1.35288E+000
   6900  0.00000E+00  0.00000E+000  3.50271E-019  5.10257E-015 -2.39983E-015 -4.50843E-015  8.41878E-005 -1.23718E-004  1.44898E-003  4.01980E-007  1.52987E-006  2.92904E-006  2.72992E-006  7.05212E-006  1.87066E-008  1.35289E+000
   7000  0.00000E+00  0.00000E+000  3.50204E-019  5.10600E-015 -2.48045E-015 -4.60016E-015  8.32014E-005 -1.24536E-004  1.45373E-003  3.99820E-007  1.52853E-006  2.92367E-006  2.72640E-006  7.05412E-006  1.87025E-008  1.35290E+000
   7100  0.00000E+00  0.00000E+000  3.50138E-019  5.12723E-015 -2.52832E-015 -4.66940E-015  8.17718E-005 -1.25077E-004  1.45990E-003  3.97690E-007  1.52738E-006  2.91828E-006  2.72305E-006  7.05719E-006  1.87015E-008  1.35292E+000
   7200  0.00000E+00  0.00000E+000  3.50083E-019  5.14617E-015 -2.59107E-015 -4.69711E-015  8.06311E-005 -1.26017E-004  1.46352E-003  3.95486E-007  1.52598E-006  2.91256E-006  2.71939E-006  7.05850E-006  1.86857E-008  1.35294E+000
   7300  0.00000E+00  0.00000E+000  3.50025E-019  5.15536E-015 -2.66800E-015 -4.76001E-015  7.96598E-005 -1.26851E-004  1.46705E-003  3.93459E-007  1.52456E-006  2.90741E-006  2.71603E-006  7.05962E-006  1.86782E-008  1.35295E+000
   7400  0.00000E+00  0.00000E+000  3.49965E-019  5.17477E-015 -2.71720E-015 -4.83512E-015  7.82993E-005 -1.27370E-004  1.47251E-003  3.91521E-007  1.52338E-006  2.90251E-006  2.71298E-006  7.06210E-006  1.86719E-008  1.35297E+000
   7500  0.00000E+00  0.00000E+000  3.49913E-019  5.19621E-015 -2.76981E-015 -4.85773E-015  7.69919E-005 -1.28164E-004  1.47646E-003  3.89520E-007  1.52208E-006  2.89727E-006  2.70971E-006  7.06368E-006  1.86631E-008  1.35297E+000
   7600  0.00000E+00  0.00000E+000  3.49863E-019  5.20453E-015 -2.84531E-015 -4.90373E-015  7.59533E-005 -1.29056E-004  1.47930E-003  3.87618E-007  1.52069E-006  2.89231E-006  2.70650E-006  7.06436E-006  1.86598E-008  1.35297E+000
   7700  0.00000E+00  0.00000E+000  3.49808E-019  5.21440E-015 -2.90634E-015 -4.97674E-015  7.46761E-005 -1.29634E-004  1.48396E-003  3.85832E-007  1.51951E-006  2.88775E-006  2.70366E-006  7.06629E-006  1.86645E-008  1.35297E+000
   7800  0.00000E+00  0.00000E+000  3.49758E-019  5.23230E-015 -2.95848E-015 -5.01116E-015  7.32553E-005 -1.30331E-004  1.48829E-003  3.83999E-007  1.51834E-006  2.88295E-006  2.70070E-006  7.06803E-006  1.86686E-008  1.35297E+000
   7900  0.00000E+00  0.00000E+000  3.49713E-019  5.24047E-015 -3.03275E-015 -5.04450E-015  7.20848E-005 -1.31252E-004  1.49091E-003  3.82194E-007  1.51701E-006  2.87819E-006  2.69764E-006  7.06849E-006  1.86702E-008  1.35296E+000
   8000  0.00000E+00  0.00000E+000  3.49662E-019  5.24418E-015 -3.10428E-015 -5.11410E-015  7.08070E-005 -1.31881E-004  1.49464E-003  3.80523E-007  1.51584E-006  2.87387E-006  2.69489E-006  7.06974E-006  1.86816E-008  1.35295E+000
   8100  0.00000E+00  0.00000E+000  3.49613E-019  5.25850E-015 -3.16029E-015 -5.15796E-015  6.93361E-005 -1.32447E-004  1.49889E-003  3.78850E-007  1.51475E-006  2.86948E-006  2.69218E-006  7.07140E-006  1.86928E-008  1.35295E+000
   8200  0.00000E+00  0.00000E+000  3.49570E-019  5.26812E-015 -3.22968E-015 -5.18452E-015  6.80501E-005 -1.33257E-004  1.50150E-003  3.77171E-007  1.51352E-006  2.86497E-006  2.68929E-006  7.07191E-006  1.86970E-008  1.35295E+000
   8300  0.00000E+00  0.00000E+000  3.49524E-019  5.27102E-015 -3.30530E-015 -5.23955E-015  6.68240E-005 -1.33868E-004  1.50439E-003  3.75613E-007  1.51235E-006  2.86083E-006  2.68662E-006  7.07260E-006  1.87064E-008  1.35295E+000
   8400  0.00000E+00  0.00000E+000  3.49477E-019  5.28142E-015 -3.36424E-015 -5.28974E-015  6.54271E-005 -1.34301E-004  1.50831E-003  3.74098E-007  1.51132E-006  2.85680E-006  2.68409E-006  7.07409E-006  1.87148E-008  1.35296E+000
