BrFactor_ADAPT,nChromoSi_AWSoM,PoyntingFluxPerBSi,LperpTimesSqrtBSi,StochasticExponent,BrMin,rMinWaveReflection,REALIZATIONS_ADAPT,PFSS,UseSurfaceWaveRefl,Outcomes
2.302941176,1.10588e18,843137.2549,242426.4706,0.318235294,9.840686275,1.184803922,8.0,2.0,1.0,1
2.408823529,5.41176e17,352941.1765,238455.8824,0.247647059,5.232843137,1.090686275,7.0,2.0,2.0,1
2.419411765,2.23529e18,521568.6275,123308.8235,0.133529412,8.223039216,1.157352941,6.0,2.0,1.0,1
2.334705882,4.04706e18,901960.7843,107426.4706,0.118235294,6.041666667,1.130882353,5.0,2.0,2.0,1
2.366470588,3.08235e18,772549.0196,290073.5294,0.302941176,6.017156863,1.021078431,10.0,2.0,1.0,1
2.355882353,4.37647e18,592156.8627,184191.1765,0.292352941,9.620098039,1.084803922,1.0,2.0,2.0,1
2.345294118,1.62353e18,309803.9216,58455.88235,0.179411765,7.414215686,1.076960784,2.0,2.0,1.0,1
2.377058824,3.01176e18,1.031372549e6,73014.70588,0.188823529,9.375,1.134803922,1.0,2.0,2.0,1
2.451176471,6.11765e17,376470.5882,200073.5294,0.111176471,9.056372549,1.051470588,5.0,2.0,1.0,1
2.239411765,4.42353e18,556862.7451,272867.6471,0.332352941,5.355392157,1.043627451,12.0,2.0,2.0,1
1.688823529,2.82353e17,470588.2353,62426.47059,0.237058824,5.796568627,1.156372549,2.0,2.0,1.0,1
2.324117647,2.51765e18,819607.8431,298014.7059,0.181764706,7.977941176,1.167156863,5.0,2.0,2.0,1
2.43,4.72941e18,619607.8431,246397.0588,0.153529412,6.482843137,1.191666667,10.0,2.0,1.0,1
2.440588235,4.89412e18,1.023529412e6,157720.5882,0.264117647,7.046568627,1.108333333,3.0,2.0,2.0,1
2.387647059,3.55294e18,466666.6667,230514.7059,0.240588235,8.860294118,1.010294118,6.0,2.0,1.0,1
2.461764706,1.17647e18,850980.3922,90220.58824,0.254705882,5.943627451,1.04754902,2.0,2.0,2.0,0
2.482941176,3.90588e18,796078.4314,124632.3529,0.199411765,9.031862745,1.096568627,2.0,2.0,1.0,1
1.35,4.23529e17,1.011764706e6,55808.82353,0.206470588,7.708333333,1.006372549,10.0,2.0,2.0,0
2.493529412,4.63529e18,952941.1765,83602.94118,0.238235294,9.865196078,1.054411765,7.0,2.0,1.0,1
2.504117647,1.34118e18,992156.8627,188161.7647,0.17,7.242647059,1.178921569,8.0,2.0,2.0,1
2.514705882,2.77647e18,647058.8235,165661.7647,0.268823529,8.713235294,1.040686275,1.0,2.0,1.0,1
2.525294118,2.28235e18,345098.0392,51838.23529,0.307647059,9.644607843,1.139705882,5.0,2.0,2.0,1
2.535882353,7.29412e17,588235.2941,264926.4706,0.187647059,8.125,1.016176471,7.0,2.0,1.0,1
2.546470588,4.11765e18,1.08627451e6,208014.7059,0.279411765,7.487745098,1.049509804,8.0,2.0,2.0,1
2.557058824,3.31765e18,552941.1765,215955.8824,0.147647059,5.575980392,1.128921569,2.0,2.0,1.0,1
2.567647059,1.38824e18,415686.2745,278161.7647,0.159411765,8.590686275,1.080882353,4.0,2.0,2.0,1
2.578235294,1.92941e18,1.062745098e6,87573.52941,0.317058824,7.781862745,1.14754902,12.0,2.0,1.0,1
0.640588235,6.35294e17,784313.7255,258308.8235,0.293529412,6.164215686,1.175980392,1.0,2.0,2.0,1
2.599411765,2.35294e18,968627.451,247720.5882,0.233529412,8.517156863,1.117156863,5.0,2.0,1.0,1
2.61,2.70588e18,490196.0784,66397.05882,0.337058824,8.174019608,1.081862745,9.0,2.0,2.0,1
2.620588235,9.64706e17,654901.9608,119338.2353,0.164117647,7.512254902,1.053431373,10.0,2.0,1.0,1
2.631176471,2.91765e18,945098.0392,118014.7059,0.219411765,5.821078431,1.193627451,7.0,2.0,2.0,1
2.641764706,9.17647e17,1.082352941e6,225220.5882,0.248823529,9.473039216,1.16127451,1.0,2.0,1.0,1
2.652352941,3.22353e18,356862.7451,41250.0,0.127647059,7.634803922,1.019117647,4.0,2.0,2.0,1
